,Title,Year,Rating,Description,Director,Acteurs,Runtime,Genre
0,讀報人,(2020),"

6.9
","
    A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",Paul Greengrass,Tom Hanks-Helena Zengel-Tom Astor-Travis Johnson,118 min,"
Action, Adventure, Drama            "
1,天劫倒數,(2020),"

6.4
","
    A family struggles for survival in the face of a cataclysmic natural disaster.",Ric Roman Waugh,Gerard Butler-Morena Baccarin-Roger Dale Floyd-Scott Glenn,119 min,"
Action, Drama, Thriller            "
2,Seungriho,(2021),"

6.6
","
    Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal.",Sung-hee Jo,Song Joong-Ki-Kim Tae-ri-Seon-kyu Jin-Hae-Jin Yoo,136 min,"
Action, Adventure, Drama            "
3,查克·史奈德之正義聯盟,(2021),,"
    Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,Jared Leto-Amber Heard-Henry Cavill-Robin Wright,240 min,"
Action, Adventure, Fantasy            "
4,TENET天能,(2020),"

7.5
","
    Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Christopher Nolan,John David Washington-Robert Pattinson-Elizabeth Debicki-Juhan Ulfsak,150 min,"
Action, Sci-Fi, Thriller            "
5,F9,(2021),,"
    Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",Justin Lin,Vin Diesel-Michelle Rodriguez-Martyn Ford-Charlize Theron,145 min,"
Action, Adventure, Crime            "
6,Willy's Wonderland,(2021),"

5.7
","
    A quiet drifter is tricked into a janitorial job at the now condemned Wally's Wonderland. The mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. Fists fly, kicks land, titans clash -- and only one side will make it out alive.",Kevin Lewis,Nicolas Cage-Emily Tosta-Beth Grant-Ric Reitz,88 min,"
Action, Comedy, Horror            "
7,哥吉拉大戰金剛,(2021),,"
    The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against one another - the fearsome Godzilla and the mighty Kong - with humanity caught in the balance.",Adam Wingard,Alexander Skarsgård-Millie Bobby Brown-Rebecca Hall-Brian Tyree Henry,,"
Action, Sci-Fi, Thriller            "
8,神力女超人1984,(2020),"

5.4
","
    Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Patty Jenkins,Gal Gadot-Chris Pine-Kristen Wiig-Pedro Pascal,151 min,"
Action, Adventure, Fantasy            "
9,Finding 'Ohana,(2021),"

6.1
","
    A summer in rural O‘ahu takes an exciting turn for two Brooklyn-raised siblings when a journal pointing to long-lost treasure sets them on an epic adventure with new friends, and leads them to reconnect with their Hawaiian heritage.",Jude Weng,Kelly Hu-Lindsay Watson-Ke Huy Quan-Branscombe Richmond,123 min,"
Action, Adventure, Comedy            "
